BEZIRK;ZULASSUNGSNR. alt;ZULASSUNGSNR. neu;VIS REGISTRIERUNGSNR.;H;HE;SS;NAME;STRASSE;HNR;PLZ;ORT;TELEFONNR.;XKOORD;YKOORD
DL;AT-ST-VS-22;AT LT 61916;8004404;1;;;"Bruno Picker Vieh-
und Schweinehandel
Transportgesellschaft m.b.H.";Vocherastraﬂe;10;8522;Gr. St. Florian;03464/231;548.644,025††;327.025,891††
DL;AT-ST-VS-25;AT LT  61924;8011362;1;1;;Kogler Franz A. GmbH;Aichberg;120;8552;Eibiswald;;545.326,143††;311.762,167††
G;AT-ST-VS-14;AT LT 61929;8002908;1;;1;Gerald & Ralph Zsifkovits OG;Neusitzstraﬂe;90;8044;Graz-Mariatrost;0316/391125;565.670,46††;360.809,725††
GU;AT-ST-VS-04;AT LT 61926;C312014;1;;1;Gerald Sifkovits e.U.;Oberberg;6;8143;Dobl;03136/52103;555.671,414††;340.773,31††
GU;;AT LT62722;8020787;;;1;REISINGER RUPERT;Rothleiten;1a Wohnhaus;8130;Frohnleiten;31 263 654;15,289339;47,277944
HF;AT-ST-VS-27;AT LT 61952;8012881;;;1;"Zucht- und
Nutztiervermarktungszentrum
Ost- und Weststeiermark
registrierte Genossenschaft
mit beschr‰nkter Haftung";"Gewerbepark Greinbach
Penzendorf";268;8230;Hartberg;0332/6199410;599.891,17††;382.973,936††
HF;;AT LT 61884;8007969;;;;Johann Zsifkovics GmbH & Co. KG;Burgenlandstraﬂe;21;8280;F¸rstenfeld;0699/15552378;16,087182;47,048153
LB;AT-ST-VS-28;AT LT 61908;4370392;;;1;Styriabrid GmbH;Landscha an der Mur;10;8424;Gabersdorf;;571.361,074††;320.372,417††
LB;AT-ST-VS-37;AT LT 60315;3513017;1;;;Unger Maria;Maxlon;37;8430;Leibnitz;03452/72453;564.597,29††;327.304,133††
LB;AT-ST-VS-23;AT LT 61917;8006075;1;;;Styriabrid GmbH;Schulstraﬂe (St. Veit a. Vogau) ;14;8423;St. Veit a. Vogau;03453/4060011;575.137,103††;319.343,382††
LB;;AT LT 61908;4370392;;;1;Styriabrid GmbH;Landscha an der Mur;10;8424;Gabersdorf;;15,576621;46,760819
LB;AT-ST-VS-30;AT LT 61927;8002878;1;;;Klement Gerhard;Lamperst‰tten;30;8505;St. Nikolai i.S.;03185/30680;559.428,366††;328.776,993††
LB;AT-ST-VS-33;AT LT 61928;8003432;1;;;Lechner Gerald e.U.;Triftweg (Wagendorf);22;8423;St. Veit a. Vogau;0664/9737657;574.624,517††;319.831,857††
LB;AT-ST-VS-32;AT LT 61972;8015228;1;;;Kumpitsch Johannes;Untergreith;93;8453;St. Johann i.S.;03457/2493;556.858,839††;315.545,416††
LB;;AT LT 62027;8009309;1;;;Nistl KG;Waldbadweg;8;8451;Heimschuh;0664/1819858;564.273,191††;320.680,859††
LB;;AT LT 62029;8010277;1;;;Stelzl Heinz Peter;Oberfahrenbach;29;8452;Groﬂklein;0664/5422324;564.297,045††;314.769,73††
LB;;AT LT 62030;8005907;1;;;Stelzl Wilhelm Viehhandel GmbH;Kleinklein;9;8452;Groﬂklein;03456/2509;559.934,393††;317.474,122††
LI;AT-ST-VS-13;AT LT 61905;2920913;;;1;Braunvieh Thomahof eG;Klachau;42;8982;Tauplitz;0664/1535058;451.206,124††;405.863,804††
LN;;AT LT 62550;8020604;1;;1;Rinderzucht Steiermark Service GmbH;Industriepark West;7;8772;Traboch;0664/1417499;14,980758;47,374314
MT;AT-ST-VS-08;AT LT 61938;8016038;1;;1;Penz Franz Josef Ing.;Rattenbergerweg;12;8740;Zeltweg;03145/720;505.784,236††;367.092,978††
MT;AT-ST-VS-07;AT LT 61911;8003980;1;;1;"Erzeugergemeinschaft ""Steirisches 
Rind"" Vertriebs-GmbH";Landstraﬂe (Fohnsdorf);27;8753;Fohnsdorf;0664/3380503;502.506,87††;368.710,964††
MU;AT-ST-VS-24;AT LT 61921;8004340;1;;1;Petzl Franz Josef;Glanz;81;8843;St. Peter am Kammersberg;035368/385;466.214,443††;364.756,145††
SO;AT-ST-VS-02;AT LT 61988;8005079;1;;1;Schalk-Nutztiere GmbH;Eichkˆgl;97;8322;Studenzen;0664/2803127;586.761,407††;350.455,116††
SO;;AT LT 62791;FA12092;1;;;CB Cattle breeders GmbH;Berndorf;98;8324;Kirchberg/Raab;03115/3879;15,782091;46,976981
VO;"AT-ST-VS-12
ST BG 83-01";AT LT 60213;8016054;1;;1;Penz Franz Josef Ing.;Oberer Kreuzberg;749;8583;Edelschrott;03577/23160;527.289,228††;346.937,093††
VO;AT-ST-VS-20;AT LT 61909;8010471;1;1;;Penz Export und Import Ges.m.b.H.;Oberer Kreuzberg;749;8583;Edelschrott;03145/7200;527.289,228††;346.937,093††
